IP Address,Description
194.156.98[.]89,SideWalk C2
194.156.98[.]226,Likely SideWalk C2 (shares SSL cert with other SideWalk C2)
45.86.163[.]136,High confidence Red Kelpie AS.website IP
124.156.138[.]199,High confidence Red Kelpie AS.website IP
140.82.23[.]214,High confidence Red Kelpie AS.website IP
207.246.108[.]247,High confidence Red Kelpie AS.website IP
51.68.28[.]242,High confidence Red Kelpie AS.website IP
139.180.210[.]21,Low confidence Red Kelpie AS.website IP
164.132.68[.]221,Low confidence Red Kelpie AS.website IP
92.38.178[.]246,Low confidence Red Kelpie AS.website IP
172.107.231[.]236,Low confidence Red Kelpie AS.website IP
45.140.147[.]172,Low confidence Red Kelpie AS.website IP
45.153.229[.]170,Low confidence Red Kelpie AS.website IP
194.156.99[.]15,Low confidence Red Kelpie AS.website IP
45.153.231[.]103,Low confidence Red Kelpie AS.website IP
45.144.31[.]55,Low confidence Red Kelpie AS.website IP
45.67.229[.]168,Low confidence Red Kelpie AS.website IP
194.156.98[.]86,Low confidence Red Kelpie AS.website IP
45.67.228[.]156,Low confidence Red Kelpie AS.website IP
194.85.1[.]47,Low confidence Red Kelpie AS.website IP
195.123.247[.]73,Red Kelpie Cobalt Strike infrastructure
104.168.30[.]164,Red Kelpie Cobalt Strike infrastructure
78.128.112[.]137,Red Kelpie Cobalt Strike infrastructure
161.35.76[.]1,Red Kelpie Cobalt Strike infrastructure
23.81.246[.]189,Red Kelpie Cobalt Strike infrastructure
78.128.112[.]204,Red Kelpie Cobalt Strike infrastructure
185.234.72[.]115,Red Kelpie Cobalt Strike infrastructure
45.153.231[.]31,Red Kelpie Cobalt Strike infrastructure
185.118.167[.]40,Red Kelpie Cobalt Strike infrastructure
185.118.166[.]205,Red Kelpie Cobalt Strike infrastructure
80.92.205[.]135,Red Kelpie Cobalt Strike infrastructure
45.153.231[.]67,Red Kelpie Cobalt Strike infrastructure
104.224.169[.]214,Red Kelpie Cobalt Strike infrastructure
78.128.112[.]199,Red Kelpie Cobalt Strike infrastructure
142.202.205[.]89,Red Kelpie Cobalt Strike infrastructure
119.45.238[.]189,Red Kelpie Cobalt Strike infrastructure and from LNK file
54.238.181[.]74,IP from Red Kelpie LNK file
168.138.137[.]235,IP from Red Kelpie LNK file
