URL,Description
hxxps://194.156.98[.]89/UcocFuvS64a3Cto4/pGugspPEo0jsklzO,Example SideWalk URL
hxxp://work[.]cloud01[.]tk/users/sign_in,Red Kelpie Cobalt Strike URL
hxxps://work[.]cloud01[.]tk/users/sign_in,Red Kelpie Cobalt Strike URL
hxxps://work[.]cloud20[.]tk/users/sign_in,Red Kelpie Cobalt Strike URL
hxxp://119.45.238[.]189:8080/const[.]txt,Red Kelpie Cobalt Strike URL
hxxp://104.224.169[.]214:443/a97ca672[.]js,Red Kelpie Cobalt Strike URL
hxxp://ns1[.]mssetting[.]com:53/v3/config/,Red Kelpie Cobalt Strike URL
hxxp://ns[.]cloud01[.]tk:53/users/sign_in,Red Kelpie Cobalt Strike URL
hxxp://service[.]dns22[.]ml:443/a97ca672[.]js,Red Kelpie Cobalt Strike URL
hxxp://ns[.]cloud20[.]tk:53/users/sign_in,Red Kelpie Cobalt Strike URL
hxxp://24893cb6[.]ns1[.]extrsports[.]ru/,Red Kelpie Cobalt Strike URL
hxxp://www[.]mircoupdate[.]hxxps443[.]net:443/jquery-3[.]3[.]1[.]min[.]js,Red Kelpie Cobalt Strike URL
hxxp://ns1[.]extrsports[.]ru:53/topstories,Red Kelpie Cobalt Strike URL
hxxp://2bc1b4ba[.]ns1[.]mssetting[.]com/,Red Kelpie Cobalt Strike URL
hxxp://work[.]cloud01[.]tk:443/users/sign_in,Red Kelpie Cobalt Strike URL
hxxp://letwiki[.]com:443/massaction,Red Kelpie Cobalt Strike URL
hxxp://tosayoj[.]com:443/massaction,Red Kelpie Cobalt Strike URL
hxxp://www[.]corpSolution[.]net:443/massaction,Red Kelpie Cobalt Strike URL
hxxp://work[.]cloud20[.]tk:443/users/sign_in,Red Kelpie Cobalt Strike URL
hxxp://work[.]cloud20[.]tk/users/sign_in,Red Kelpie Cobalt Strike URL
hxxps://work[.]getdns[.]tk/users/sign_in,Red Kelpie Cobalt Strike URL
hxxp://microsoftbooks[.]dynamic-dns[.]net:443/fwlink,Red Kelpie Cobalt Strike URL
hxxp://ns1[.]freeemails[.]shop:53/fwlink,Red Kelpie Cobalt Strike URL
hxxp://161.35.76[.]1:443/jquery-3[.]3[.]1[.]min[.]js,Red Kelpie Cobalt Strike URL
hxxp://ns1[.]sunnykkf[.]xyz:53/ptj,Red Kelpie Cobalt Strike URL
